,names,links,links_total,links_path
80,Náutico,images/nautico.png,https://www.escudosfc.com.br/images/nautico.png,logo_images/images/nautico.png
81,Náutico,images/nautico_rr.png,https://www.escudosfc.com.br/images/nautico_rr.png,logo_images/images/nautico_rr.png
82,Nova Iguaçu ,images/novaiguacu_rj.jpg,https://www.escudosfc.com.br/images/novaiguacu_rj.jpg,logo_images/images/novaiguacu_rj.jpg
83,Nova Venécia ,images/novavenecia_nv_es.png,https://www.escudosfc.com.br/images/novavenecia_nv_es.png,logo_images/images/novavenecia_nv_es.png
84,Oeste,images/oeste.png,https://www.escudosfc.com.br/images/oeste.png,logo_images/images/oeste.png
85,Operário,images/operario_pr.png,https://www.escudosfc.com.br/images/operario_pr.png,logo_images/images/operario_pr.png
86,Pacajuense,images/pacajus_ce.jpg,https://www.escudosfc.com.br/images/pacajus_ce.jpg,logo_images/images/pacajus_ce.jpg
87,Palmeiras,images/palmeiras.png,https://www.escudosfc.com.br/images/palmeiras.png,logo_images/images/palmeiras.png
88,Paraná Clube,images/parana.png,https://www.escudosfc.com.br/images/parana.png,logo_images/images/parana.png
89,Paysandu - PA,images/paysandu_pa.png,https://www.escudosfc.com.br/images/paysandu_pa.png,logo_images/images/paysandu_pa.png
90,Ponte Preta,images/pontepreta.gif,https://www.escudosfc.com.br/images/pontepreta.gif,logo_images/images/pontepreta.gif
91,Porto Velho,images/porto_velho_ro.png,https://www.escudosfc.com.br/images/porto_velho_ro.png,logo_images/images/porto_velho_ro.png
92,Portuguesa,images/portuguesa_rj.png,https://www.escudosfc.com.br/images/portuguesa_rj.png,logo_images/images/portuguesa_rj.png
93,Pouso Alegre,images/pouso_alegre_mg.png,https://www.escudosfc.com.br/images/pouso_alegre_mg.png,logo_images/images/pouso_alegre_mg.png
94,Próspera,images/prospera_sc.png,https://www.escudosfc.com.br/images/prospera_sc.png,logo_images/images/prospera_sc.png
95,Quatro de Julho,images/4dejulho.png,https://www.escudosfc.com.br/images/4dejulho.png,logo_images/images/4dejulho.png
96,Real Noroeste,images/real_noroeste_es.png,https://www.escudosfc.com.br/images/real_noroeste_es.png,logo_images/images/real_noroeste_es.png
97,Remo,images/remo.png,https://www.escudosfc.com.br/images/remo.png,logo_images/images/remo.png
98,Retrô,images/retro_pe.png,https://www.escudosfc.com.br/images/retro_pe.png,logo_images/images/retro_pe.png
99,Rio Branco,images/riobranco_ac.jpg,https://www.escudosfc.com.br/images/riobranco_ac.jpg,logo_images/images/riobranco_ac.jpg
100,Sampaio Correa,images/sampaio.png,https://www.escudosfc.com.br/images/sampaio.png,logo_images/images/sampaio.png
101,Santa Cruz,images/santacruz.png,https://www.escudosfc.com.br/images/santacruz.png,logo_images/images/santacruz.png
102,Santo André,images/santo_andre.png,https://www.escudosfc.com.br/images/santo_andre.png,logo_images/images/santo_andre.png
103,Santos FC,images/santos.png,https://www.escudosfc.com.br/images/santos.png,logo_images/images/santos.png
104,São Bernardo ,images/sao_bernarndo_sp.png,https://www.escudosfc.com.br/images/sao_bernarndo_sp.png,logo_images/images/sao_bernarndo_sp.png
105,São José,images/saojose_rs.jpg,https://www.escudosfc.com.br/images/saojose_rs.jpg,logo_images/images/saojose_rs.jpg
106,São Luiz ,images/saoluiz_rs.png,https://www.escudosfc.com.br/images/saoluiz_rs.png,logo_images/images/saoluiz_rs.png
107,São Paulo FC,images/saopaulo.png,https://www.escudosfc.com.br/images/saopaulo.png,logo_images/images/saopaulo.png
108,São Paulo Crystal,images/sao_paulo_crystal.jpg,https://www.escudosfc.com.br/images/sao_paulo_crystal.jpg,logo_images/images/sao_paulo_crystal.jpg
109,São Raimundo,images/saoraimundo.jpg,https://www.escudosfc.com.br/images/saoraimundo.jpg,logo_images/images/saoraimundo.jpg
110,São Raimundo ,images/saoraimundo_rr.jpg,https://www.escudosfc.com.br/images/saoraimundo_rr.jpg,logo_images/images/saoraimundo_rr.jpg
111,Sergipe,images/sergipe.png,https://www.escudosfc.com.br/images/sergipe.png,logo_images/images/sergipe.png
112,Sousa,images/sousa_pb3.png,https://www.escudosfc.com.br/images/sousa_pb3.png,logo_images/images/sousa_pb3.png
113,Sport,images/sport.gif,https://www.escudosfc.com.br/images/sport.gif,logo_images/images/sport.gif
114,Tocantinópolis,images/tocantinopolis.png,https://www.escudosfc.com.br/images/tocantinopolis.png,logo_images/images/tocantinopolis.png
115,Tombense,images/tombense_mg.png,https://www.escudosfc.com.br/images/tombense_mg.png,logo_images/images/tombense_mg.png
116,Trem,images/trem_ap.jpg,https://www.escudosfc.com.br/images/trem_ap.jpg,logo_images/images/trem_ap.jpg
117,Tuna Luso,images/tuna.jpg,https://www.escudosfc.com.br/images/tuna.jpg,logo_images/images/tuna.jpg
118,URT,images/urt.png,https://www.escudosfc.com.br/images/urt.png,logo_images/images/urt.png
119,Vasco da Gama - RJ,images/vasco.png,https://www.escudosfc.com.br/images/vasco.png,logo_images/images/vasco.png
120,Vila Nova,images/vilanova.png,https://www.escudosfc.com.br/images/vilanova.png,logo_images/images/vilanova.png
121,Vitória - BA,images/vitoria.png,https://www.escudosfc.com.br/images/vitoria.png,logo_images/images/vitoria.png
122,Viva Rio/Pérolas Negras,images/perolas_negras_rj.png,https://www.escudosfc.com.br/images/perolas_negras_rj.png,logo_images/images/perolas_negras_rj.png
123,Volta Redonda,images/volta.png,https://www.escudosfc.com.br/images/volta.png,logo_images/images/volta.png
124,Ypiranga,images/ypiranga_rs.png,https://www.escudosfc.com.br/images/ypiranga_rs.png,logo_images/images/ypiranga_rs.png
125,São Caetano - SP,images/sao_caetano.jpg,https://www.escudosfc.com.br/images/sao_caetano.jpg,logo_images/images/sao_caetano.jpg
